[dotenv@17.2.3] injecting env (1) from .env -- tip: 🔐 encrypt with Dotenvx: https://dotenvx.com
--- ALL CUSTOMERS ---
ID: 69175a5860713965df9ca2b5, Name: "Vaishnavi Agrotech"
ID: 6930521d2504525d431c42e8, Name: "Triveni  Global Pvt Ltd"
ID: 6930548f2504525d431c4363, Name: "N N L Traders "
ID: 694a7bf74b9f1de791dc406a, Name: "Greentech Engineers & Service "
ID: 694aa0a51ebc0261c00e1a59, Name: "A S Traders"
ID: 694d0a6c5ea850069084910e, Name: "Orbit Life Science Pvt Ltd "
ID: 694d13f25ea8500690849ad6, Name: "Jai Maruthi Agro Tech "
ID: 6950fc31df36326210afde2f, Name: "Balaji Purshottam "
ID: 6951557d00946eb81845737b, Name: "Druva Aircon"
ID: 695248611093246d382ed53c, Name: "Dira Impex "
ID: 695527712a1ea9c1ed517ba1, Name: "Sai Anup Enterprises"
ID: 6955285d2a1ea9c1ed517f6c, Name: "Shri Girraj Supari Traders LLP"
ID: 69552ab12a1ea9c1ed5188fc, Name: "Lakhdatar Traders"
ID: 69590976e13e7fa0c9f5a18c, Name: "N N Aircon Systems Pvt Ltd "
ID: 69590a64e13e7fa0c9f5a526, Name: "VRV Engineers India Pvt Ltd "
ID: 695a4532892c8422189b1715, Name: "Gyan Tara Spices n Dry Fruits "
ID: 695a5968a675c3af2d5e211f, Name: "HTL Aircon Pvt Ltd "
ID: 695a5eb2a675c3af2d5e4fa9, Name: "Indian Herbs Specialities Pvt Ltd "
ID: 695e4e069d271ce2364f6d61, Name: "Rolls Royce India pvt ltd"
ID: 695f4f73c2761abb2b226df3, Name: "Arhom Industries LLP"
ID: 69609f0efcc60b304177bf59, Name: "Apple "
ID: 6960d5e121c9b96c4ba92662, Name: "Morgan Stanley Advantage "
ID: 6960daf821c9b96c4ba947f1, Name: "JPMC Amenity "
ID: 696125511f0061ca9430dc9e, Name: "Dell technologies "
ID: 69613915ae8c67bed3d6a6ca, Name: "Viswas Agencies "
ID: 696282e4fcf0bfa7252af3be, Name: "Sagar Air Pvt Ltd"
ID: 693050372504525d431c42bf, Name: "Shakantilal Jayantilal "
ID: 6932f5a65526fc089188fe3e, Name: "Sukhdev Enterprises"
ID: 694a69f04b9f1de791dc392f, Name: "BDR HVAC System India Pvt Ltd"
ID: 694a810d4b9f1de791dc445d, Name: "Amf Inc"
ID: 694a9da81ebc0261c00e18d6, Name: "Blue Star Limited "
ID: 694aa7441ebc0261c00e1e89, Name: "Vedanta Limited"
ID: 694bf6408bcd508ef05175a4, Name: "Intellimech Systems "
ID: 694bf6408bcd508ef05175a8, Name: "Intellimech Systems "
ID: 694bff1a8bcd508ef0517ec9, Name: "Natraj Enterprises"
ID: 694cf1a55ea8500690847fd3, Name: "Harvest India Pvt Ltd "
ID: 694cf4f85ea850069084813e, Name: "Om Namo Shivay Traders"
ID: 694d01125ea8500690848a0c, Name: "G T J Pakshal"
ID: 694d0e835ea850069084943e, Name: "Gilli Solution "
ID: 694d18725ea8500690849e38, Name: "Latrile Gloves Pvt Ltd "
ID: 694d1b625ea850069084a367, Name: "West Coast Paper Mills Ltd"
ID: 694fb8357fc6643e70fe6e85, Name: "NTF India Pvt Ltd"
ID: 694fcaa77fc6643e70fe7ed2, Name: "M S Agarwal Foundries Pvt Ltd "
ID: 6950fe66df36326210afe0be, Name: "Manek Chowk "
ID: 695133215bc1a3f4e4cb15d5, Name: "Candor Logistics LLP"
ID: 6951370d5bc1a3f4e4cb1f61, Name: "Suraj Mani Engineers Pvt Ltd"
ID: 6953fae18878bf735af9d169, Name: "Raj Laghu Gruh Udyog "
ID: 69590f45e13e7fa0c9f5c20e, Name: "Nirvayu Electromech "
ID: 695cbc061bcbbd4c815393dd, Name: "Nirvayu  Electro Mech "
ID: 695cc3251bcbbd4c8153a7fc, Name: "Evergreen Trading Agency "
ID: 695e21243f7ec8a7617a0a17, Name: "Anas Enterprise"
ID: 695e37633f7ec8a7617a849e, Name: "Jaleel Aircon Projects "
